nut3_code,pps,pps_per_inhabitant
PL9,280735.1,49300.0
PL91,216890.08,62800.0
PL92,63845.02,28500.0
PT,351817.96,32900.0
PT1,335475.75,32900.0
PT11,104233.83,28300.0
PT111,6037.73,25800.0
PT112,12077.8,28000.0
PT119,11372.91,26900.0
PT11A,57090.94,31500.0
PT11B,1858.8,22200.0
PT11C,8677.23,21200.0
PT11D,4596.45,25000.0
PT11E,2521.97,23500.0
PT15,17397.33,35600.0
PT150,17397.33,35600.0
PT19,48202.16,28200.0
PT191,12109.73,31200.0
PT192,12869.74,28600.0
PT193,9305.68,31100.0
PT194,6519.49,25200.0
PT195,2585.28,25800.0
PT196,4812.23,22900.0
PT1A,110234.48,51500.0
PT1A0,110234.48,51500.0
PT1B,18622.63,22100.0
PT1B0,18622.63,22100.0
PT1C,14629.78,30800.0
PT1C1,3801.83,37300.0
PT1C2,3834.8,33100.0
PT1C3,2672.4,25700.0
PT1C4,4320.74,28200.0
PT1D,22155.54,25800.0
PT1D1,9784.57,25000.0
PT1D2,5594.04,25700.0
PT1D3,6776.93,27200.0
PT2,6993.45,29000.0
PT20,6993.45,29000.0
PT200,6993.45,29000.0
PT3,9099.71,35300.0
PT30,9099.71,35300.0
PT300,9099.71,35300.0
PTZ,249.05,
PTZZ,249.05,
PTZZZ,249.05,
RO,586451.12,30800.0
RO1,137042.57,28400.0
RO11,71926.76,28300.0
RO111,13617.34,24500.0
RO112,5789.32,19500.0
RO113,31165.39,44800.0
RO114,9639.76,21400.0
RO115,6842.54,20700.0
RO116,4872.41,23100.0
RO12,65115.81,28400.0
RO121,9078.68,27900.0
RO122,19851.24,35500.0
RO123,4265.45,21400.0
RO124,6499.46,22300.0
RO125,12474.51,24000.0
RO126,12946.47,32800.0
RO2,117402.59,21100.0
RO21,62165.59,19300.0
RO211,12272.93,20700.0
RO212,5707.93,14700.0
RO213,19985.19,25600.0
RO214,8495.47,19000.0
RO215,10622.57,16500.0
RO216,5081.51,13800.0
RO22,55237.0,23600.0
RO221,6027.02,22100.0
RO222,7923.63,20000.0
RO223,21368.54,32500.0
RO224,9317.44,19000.0
RO225,4771.77,25300.0
RO226,5828.6,17600.0
RO3,234885.35,45700.0
RO31,61737.68,21800.0
RO311,14757.13,26200.0
RO312,4208.37,15100.0
